Vendor,البائع
Store,متجر,module,Magento_AdvancedSearch,,,,
Results,نتائج,module,Magento_AdvancedSearch,,,,
Uses,استخدام,module,Magento_AdvancedSearch,,,,
Redirect URL,اعادة توجيه الموقع,module,Magento_AdvancedSearch,,,,
Suggested Term,الاختصاصات المقترحة,module,Magento_AdvancedSearch,,,,
Yes,نعم,module,Magento_AdvancedSearch,,,,
No,لا,module,Magento_AdvancedSearch,,,,
Action,إجراء,module,Magento_AdvancedSearch,,,,
Edit,تعديل,module,Magento_AdvancedSearch,,,,
"RPC call failed, connection timed out after %time_out.",فشل استدعاء RPC، مهلة الاتصال بعد %time_out.,module,Magento_Amqp,,,,
Message has been rejected: %1,تم رفض الرسالة: %1,module,Magento_Amqp,,,,
Error while checking if topic is synchronous,حدث خطأ أثناء التحقق من إذا كان الموضوع متزامن,module,Magento_Amqp,,,,
Subscription status,حالة الاشتراك,module,Magento_Analytics,,,,
"Sorry, there has been an error processing your request. Please try again later.",عذراً، حدث خطأ أثناء معالجة طلبك. الرجاء المحاولة مرة أخرى لاحقاً.,module,Magento_Analytics,,,,
The time value is using an unsupported format. Enter a supported format and try again.,قيمة الوقت تستخدم تنسيقاً غير مدعوم. أدخل تنسيقاً مدعوماً وحاول مرة أخرى.,module,Magento_Analytics,,,,
Cron settings can't be saved,لا يمكن حفظ إعدادات كرون Cron,module,Magento_Analytics,,,,
There was an error save new configuration value.,حدث خطأ أثناء حفظ قيمة الإعداد الجديد.,module,Magento_Analytics,,,,
Please select an industry.,رجاءا حدد مجال التجارة.,module,Magento_Analytics,,,,
--Please Select--,--أختر من فضلك--,module,Magento_Analytics,,,,
"Command ""%1"" was not found.","لم يتم العثور على الأمر ""%1"".",module,Magento_Analytics,,,,
The data is invalid. Enter the data as a string or data that can be converted into a string and try again.,البيانات غير صالحة. أدخل البيانات كنص أو بيانات يمكن تحويلها إلى نص وحاول مرة أخرى.,module,Magento_Analytics,,,,
The data is invalid. Enter the data as a string and try again.,البيانات غير صالحة. أدخل البيانات كنص وحاول مرة أخرى.,module,Magento_Analytics,,,,
The data is invalid. Use a valid cipher method and try again.,البيانات غير صالحة. استخدم طريقة تشفير صالحة وحاول مرة أخرى.,module,Magento_Analytics,,,,
Enter the encryption key and try again.,أدخل مفتاح التشفير وحاول مرة أخرى.,module,Magento_Analytics,,,,
"The ""%1"" source doesn't exist.","المصدر ""%1"" غير موجود.",module,Magento_Analytics,,,,
"These arguments can't be empty ""%1""","لا يمكن ترك هذه الصيغ فارغة ""%1""",module,Magento_Analytics,,,,
Cannot find predefined integration user!,لا يمكن العثور على مستخدم دمج معرف مسبقا!,module,Magento_Analytics,,,,
File is not ready yet.,الملف غير جاهز حتى الآن.,module,Magento_Analytics,,,,
Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.,تم تغيير الرابط الأساسي الخاص بك وجاري الآن تحديث تقاريرك. ستتوفر التقارير المتقدمة حين الانتهاء من التغيير. يرجى المحاولة مرة أخرى لاحقاً.,module,Magento_Analytics,,,,
Failed to synchronize data to the Magento Business Intelligence service. ,فشلت مزامنة البيانات مع خدمة ماجنتو لذكاء الأعمال.,module,Magento_Analytics,,,,
Retry Synchronization,أعد المزامنة,module,Magento_Analytics,,,,
TestMessage,رسالة تجريبية,module,Magento_Analytics,,,,
Apps and Games,تطبيقات وألعاب,module,Magento_Analytics,,,,
Athletic/Sporting Goods,السلع الرياضية,module,Magento_Analytics,,,,
Art and Design,الفن والتصميم,module,Magento_Analytics,,,,
Advanced Reporting,التقارير المتقدمة,module,Magento_Analytics,,,,
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.",اكتسب رؤىً جديدة وتولى قيادة الأداء في أعمالك، باستخدام تقاريرنا الديناميكية للمنتجات والأوامر والزبائن والمصممة لبيانات عملائك.,module,Magento_Analytics,,,,
Go to Advanced Reporting,الانتقال إلى التقارير المتقدمة,module,Magento_Analytics,,,,
Analytics,التحليلات,module,Magento_Analytics,,,,
API,واجهة برمجة التطبيقات (API),module,Magento_Analytics,,,,
Configuration,الضبط,module,Magento_Analytics,,,,
Business Intelligence,ذكاء الأعمال,module,Magento_Analytics,,,,
BI Essentials,أساسيات الذكاء التجاري,module,Magento_Analytics,,,,
"This service provides a dynamic suite of reports with rich insights about your business.,module,Magento_Analytics
Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the,module,Magento_Analytics
""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">,module,Magento_Analytics
terms and conditions</a>.","توفر هذه الخدمة مجموعة ديناميكية من التقارير برؤى غنية حول نشاطك التجاري.,module,Magento_Analytics يمكن الوصول إلى تقاريرك بشكل آمن على لوحة معلومات مخصصة خارج لوحة الإدارة من خلال النقر على,module,Magento_Analytics رابط ""الانتقال إلى التقارير المتقدمة"". </br> لمزيد من المعلومات، راجع <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">,module,Mag",module,Magento_Analytics,,,,
Advanced Reporting Service,خدمة التقارير المتقدمة,module,Magento_Analytics,,,,
Time of day to send data,وقت إرسال البيانات خلال اليوم,module,Magento_Analytics,,,,
Industry Data,بيانات القطاع,module,Magento_Analytics,,,,
Industry,صناعة,module,Magento_Analytics,,,,
"In order to personalize your Advanced Reporting experience, please select your industry.",من أجل تخصيص التقارير المتقدمة الخاصة بك يرجى اختيار مجال تجارتك.,module,Magento_Analytics,,,,
<strong>Get more insights from Magento Business Intelligence</strong>,<strong>احصل على المزيد من الرؤى من ماجنتو لذكاء الأعمال</strong>,module,Magento_Analytics,,,,
"Magento Business Intelligence provides you with a simple and clear path to,module,Magento_Analytics
becoming more data driven.</br> Learn more about <a target=""_blank"",module,Magento_Analytics
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","يوفر لك Magento Business Intelligence مسارًا بسيطًا وواضحًا لتصبح أكثر اعتمادًا على البيانات.</br> تعرف على المزيد حول <a target=""_blank"" href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials و BI Pro</a>.",module,Magento_Analytics,,,,
Auto Parts,قطع غيار السيارات,module,Magento_Analytics,,,,
"Baby/Children’s Apparel, Gear and Toys",ألعاب وأدوات واكسسوارات الأطفال والمواليد,module,Magento_Analytics,,,,
Beauty and Cosmetics,أدوات التجميل والجمال,module,Magento_Analytics,,,,
"Books, Music and Magazines",الكتب والمجلات والصوتيات,module,Magento_Analytics,,,,
Crafts and Stationery,المشغولات اليدوية والأدوات المكتبية,module,Magento_Analytics,,,,
Consumer Electronics,الأدواتا لكهربائية الإستهلاكية,module,Magento_Analytics,,,,
Deal Site,موقع الصفقة,module,Magento_Analytics,,,,
Fashion Apparel and Accessories,الأزياء والكماليات,module,Magento_Analytics,,,,
"Food, Beverage and Grocery",المأكولات والمشروبات والمواد التموينية,module,Magento_Analytics,,,,
Home Goods and Furniture,الأواني المنزلية والأثاث,module,Magento_Analytics,,,,
Home Improvement,تحسين المنزل,module,Magento_Analytics,,,,
Jewelry and Watches,الساعات والمجوهرات,module,Magento_Analytics,,,,
Mass Merchant,تجارة الجملة,module,Magento_Analytics,,,,
Office Supplies,أدوات مكتبية,module,Magento_Analytics,,,,
Outdoor and Camping Gear,مستلزمات التخييم والرحلات,module,Magento_Analytics,,,,
Pet Goods,مستلزمات تربية الحيوانات,module,Magento_Analytics,,,,
Pharma and Medical Devices,الأدوات الطبية والصيدلية,module,Magento_Analytics,,,,
Technology B2B,التقنية (مورد لمورد),module,Magento_Analytics,,,,
Other,أخرى,module,Magento_Analytics,,,,
Back,رجوع,module,Magento_AsynchronousOperations,,,,
Done,انتهى,module,Magento_AsynchronousOperations,,,,
Retry,إعادة المحاولة,module,Magento_AsynchronousOperations,,,,
'Action Details - #' .,'تفاصيل العملية - #' .,module,Magento_AsynchronousOperations,,,,
"%1 item(s) have been scheduled for update.""","%1 صنف (أصناف) على جدول التحديث.""",module,Magento_AsynchronousOperations,,,,
Bulk Actions Log,سجل الإجراءات,module,Magento_AsynchronousOperations,,,,
Bulk uuid %bulkUuid not exist,المعرف المجمّع %bulkUuid غير موجود,module,Magento_AsynchronousOperations,,,,
Topic %1,الموضوع %1,module,Magento_AsynchronousOperations,,,,
Something went wrong while processing the request.,حدث خطأ أثناء معالجة الطلب.,module,Magento_AsynchronousOperations,,,,
Error processing %key element of input data,خطأ في معالجة العنصر %key من بيانات الإدخال,module,Magento_AsynchronousOperations,,,,
"Sorry, something went wrong during product prices update. Please see log for details.",عذرًا، حدث خطأ أثناء تحديث أسعار المنتجات. يرجى مراجعة السجل للتفاصيل.,module,Magento_AsynchronousOperations,,,,
%1 item(s) are currently being updated.,يجري حاليا تحديث %1 صنف (أصناف).,module,Magento_AsynchronousOperations,,,,
"Task ""%1"": ","المهمة ""%1"": ",module,Magento_AsynchronousOperations,,,,
%1 item(s) have been scheduled for update.,%1 صنف (أصناف) على جدول التحديث.,module,Magento_AsynchronousOperations,,,,
%1 item(s) have been successfully updated.,%1 تم تحديث صنف (أصناف).,module,Magento_AsynchronousOperations,,,,
%1 item(s) failed to update,فشل تحديث %1 صنف (أصناف),module,Magento_AsynchronousOperations,,,,
Details,التفاصيل,module,Magento_AsynchronousOperations,,,,
View Details,عرض التفاصيل,module,Magento_AsynchronousOperations,,,,
Dismiss,استبعاد,module,Magento_AsynchronousOperations,,,,
"Pending, in queue...",معلقة، في انتظار...,module,Magento_AsynchronousOperations,,,,
%1 items selected for mass update,%1 أصناف محددة لتحديث شامل,module,Magento_AsynchronousOperations,,,,
", %1 successfully updated",تم تحديث %1 بنجاح,module,Magento_AsynchronousOperations,,,,
", %1 failed to update",لم يتم تحديث %1,module,Magento_AsynchronousOperations,,,,
System Messages,رسائل النظام,module,Magento_AsynchronousOperations,,,,
